Timestamp,City,Latitude,Longitude,OW_US_AQI_Calc,OW_AQI_Status,OW_AQI_Index,PM25_Conc,PM10_Conc,CO_Conc,NO2_Conc,O3_Conc,SO2_Conc,NH3_Conc,NO_Conc,AQICN_Station_AQI,AQICN_Station_Status,AQICN_Station_Name,AQICN_Dominant_Pollutant
2026-09-23 09:52:09,Pekanbaru,0.5071,101.4478,80,Sedang,3,25.95,30.93,1089.62,11.16,9.81,1.79,3.56,2.45,128,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 10:57:04,Pekanbaru,0.5071,101.4478,38,Baik,2,9.18,10.12,442.86,2.64,64.43,1.63,0.56,0.16,146,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 11:45:50,Pekanbaru,0.5071,101.4478,24,Baik,2,5.71,6.27,343.7,1.46,65.64,1.22,0.57,0.12,90,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 12:00:40,Pekanbaru,0.5071,101.4478,24,Baik,2,5.71,6.27,343.7,1.46,65.64,1.22,0.57,0.12,90,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 12:30:31,Pekanbaru,0.5071,101.4478,21,Baik,2,5.02,5.52,324.95,1.24,66.61,1.12,0.69,0.13,119,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 13:00:37,Pekanbaru,0.5071,101.4478,21,Baik,2,5.02,5.52,324.95,1.24,66.61,1.12,0.69,0.13,119,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 14:00:38,Pekanbaru,0.5071,101.4478,25,Baik,2,5.9,6.69,345.82,1.82,65.49,1.26,1.4,0.22,86,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 15:00:37,Pekanbaru,0.5071,101.4478,33,Baik,2,7.83,9.11,385.29,2.69,61.38,1.46,2.25,0.32,80,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 16:00:37,Pekanbaru,0.5071,101.4478,41,Baik,1,9.75,11.48,427.05,3.62,56.38,1.63,2.64,0.39,97,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 16:16:12,Pekanbaru,0.5071,101.4478,41,Baik,1,9.75,11.48,427.05,3.62,56.38,1.63,2.64,0.39,97,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 17:00:38,Pekanbaru,0.5071,101.4478,51,Sedang,2,12.11,14.71,517.6,7.16,50.35,2.46,4.95,0.59,94,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 18:00:42,Pekanbaru,0.5071,101.4478,57,Sedang,2,15.18,19.2,671.5,14.57,45.67,4.09,9.61,0.33,95,Sedang,"Pekanbaru, Indonesia",pm25
2026-09-23 19:00:38,Pekanbaru,0.5071,101.4478,65,Sedang,2,18.75,24.43,811.87,20.63,38.25,5.39,13.93,0,143,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 20:00:42,Pekanbaru,0.5071,101.4478,73,Sedang,2,22.74,29.05,917.87,24.3,32.63,6.33,18.46,0,202,Sangat Tidak Sehat,"Pekanbaru, Indonesia",pm25
2026-09-23 21:11:10,Pekanbaru,0.5071,101.4478,111,Tidak Sehat bagi Kelompok Sensitif,3,39.53,46.27,995.8,19.99,60.59,6.44,19.9,0,140,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
2026-09-23 21:24:52,Pekanbaru,0.5071,101.4478,111,Tidak Sehat bagi Kelompok Sensitif,3,39.53,46.27,995.8,19.99,60.59,6.44,19.9,0,140,Tidak Sehat bagi Kelompok Sensitif,"Pekanbaru, Indonesia",pm25
